Date,Open,High,Low,Close,Adj Close,Volume
2014-07-25,93.089996,93.480003,92.820000,92.860001,71.331764,145200
2014-07-28,92.860001,93.910004,92.800003,93.470001,71.800323,161500
2014-07-29,93.480003,94.040001,93.320000,93.379997,71.731201,135500
2014-07-30,93.379997,93.839996,92.959999,93.570000,71.877151,136300
2014-07-31,93.239998,94.300003,92.620003,92.739998,71.239586,239500
2014-08-01,92.489998,92.720001,90.940002,91.680000,70.425323,200100
2014-08-04,91.680000,92.470001,91.550003,92.239998,70.855507,66700
2014-08-05,91.800003,91.980003,90.980003,91.160004,70.025871,191600
2014-08-06,90.540001,91.949997,90.379997,91.809998,70.525177,199500
2014-08-07,91.680000,91.879997,90.949997,91.580002,70.348511,170700
2014-08-08,91.389999,91.529999,89.940002,90.540001,69.549599,154500
2014-08-11,90.959999,91.639999,90.820000,91.239998,70.087334,113200
2014-08-12,91.449997,92.040001,91.239998,91.889999,70.586639,105300
2014-08-13,92.250000,92.599998,92.139999,92.489998,71.047531,105000
2014-08-14,92.769997,93.379997,92.699997,93.379997,71.731201,120500
2014-08-15,93.750000,93.809998,92.290001,93.059998,71.485397,244300
2014-08-18,93.400002,94.050003,93.360001,93.489998,71.815704,107700
2014-08-19,93.599998,94.470001,93.440002,94.050003,72.245872,153400
2014-08-20,94.260002,95.129997,94.099998,94.930000,72.921867,150700
2014-08-21,95.230003,96.339996,95.230003,96.070000,73.797562,164600
2014-08-22,96.239998,96.589996,95.120003,95.739998,73.544083,185000
2014-08-25,95.760002,96.150002,95.349998,95.639999,73.467247,111800
2014-08-26,95.970001,96.070000,94.900002,95.639999,73.467247,155800
2014-08-27,95.919998,97.230003,95.739998,97.050003,74.550362,234400
2014-08-28,96.080002,96.199997,94.279999,95.139999,73.083160,427000
2014-08-29,95.220001,95.690002,94.860001,95.589996,73.428848,183100
2014-09-02,95.300003,95.919998,95.040001,95.889999,73.659279,144000
2014-09-03,96.080002,97.010002,96.000000,96.900002,74.435143,228000
2014-09-04,97.169998,97.970001,96.970001,97.209999,74.673271,203700
2014-09-05,97.290001,97.500000,96.500000,97.449997,74.857643,116900
2014-09-08,97.139999,97.279999,96.220001,96.550003,74.166290,124300
2014-09-09,96.459999,97.050003,95.400002,96.910004,74.442825,137500
2014-09-10,96.980003,97.209999,96.589996,97.070000,74.565735,132200
2014-09-11,96.610001,97.320000,96.250000,96.650002,74.243095,159400
2014-09-12,96.599998,96.800003,96.080002,96.580002,74.189346,153600
2014-09-15,96.580002,96.839996,95.970001,96.650002,74.243095,133300
2014-09-16,96.940002,97.519997,96.760002,97.440002,74.849976,111600
2014-09-17,97.669998,97.760002,96.839996,96.989998,74.504288,130400
2014-09-18,97.379997,97.669998,97.160004,97.610001,74.980553,158000
2014-09-19,97.680000,97.709999,96.410004,96.919998,74.450523,207300
2014-09-22,96.440002,96.970001,95.739998,95.870003,73.643944,151800
2014-09-23,95.830002,96.190002,94.949997,95.260002,73.175346,192600
2014-09-24,95.040001,95.190002,94.019997,94.940002,72.929550,180200
2014-09-25,94.160004,94.160004,91.070000,91.330002,70.903297,368200
2014-09-26,91.239998,92.300003,90.620003,91.580002,71.097374,213800
